osm_node_id,lat,lon,node_type
osm_node_00226,25.4824038,92.3509767,osm_network_node
osm_node_00227,25.5234973,92.4419984,osm_network_node
osm_node_00228,25.5307834,92.445032,osm_network_node
osm_node_00229,25.531783,92.3085022,osm_network_node
osm_node_00230,25.5619843,92.3284954,osm_network_node
osm_node_00231,25.562507,92.3283881,osm_network_node
osm_node_00232,25.5010391,92.3996088,osm_network_node
osm_node_00233,25.5110957,92.0411397,osm_network_node
osm_node_00234,25.5078126,92.0251831,osm_network_node
osm_node_00235,25.5144626,91.991546,osm_network_node
osm_node_00236,25.5377257,91.991546,osm_network_node
osm_node_00237,25.5509441,92.0501693,osm_network_node
osm_node_00238,25.546933,92.0798036,osm_network_node
osm_node_00239,25.5301508,92.1240345,osm_network_node
osm_node_00240,25.0146211,92.762395,osm_network_node
osm_node_00241,25.0146515,92.7621683,osm_network_node
osm_node_00242,25.0147499,92.7621576,osm_network_node
osm_node_00243,25.0147122,92.7624004,osm_network_node
osm_node_00244,25.0153867,92.7647835,osm_network_node
osm_node_00245,25.015552,92.7647339,osm_network_node
osm_node_00246,25.0469431,92.7928117,osm_network_node
osm_node_00247,25.046859,92.7924424,osm_network_node
osm_node_00248,25.0470085,92.7919449,osm_network_node
osm_node_00249,25.0469805,92.792421,osm_network_node
osm_node_00250,25.031904,92.7770479,osm_network_node
osm_node_00251,25.034892,92.7786425,osm_network_node
osm_node_00252,25.0376283,92.7801123,osm_network_node
osm_node_00253,25.0355615,92.7792366,osm_network_node
osm_node_00254,25.0397547,92.7817753,osm_network_node
osm_node_00255,25.0377523,92.7801781,osm_network_node
osm_node_00256,25.0396951,92.7817929,osm_network_node
osm_node_00257,25.0498381,92.8017417,osm_network_node
osm_node_00258,25.0494348,92.8015941,osm_network_node
osm_node_00259,25.0495028,92.8014788,osm_network_node
osm_node_00260,25.0498636,92.8016129,osm_network_node
osm_node_00261,25.0579902,92.8026831,osm_network_node
osm_node_00262,25.0566924,92.8013404,osm_network_node
osm_node_00263,25.0580595,92.8025195,osm_network_node
osm_node_00264,25.05817,92.802828,osm_network_node
osm_node_00265,25.0583134,92.8026965,osm_network_node
osm_node_00266,25.0598471,92.8054368,osm_network_node
osm_node_00267,25.0470583,92.7927522,osm_network_node
osm_node_00268,25.0470072,92.7907728,osm_network_node
osm_node_00269,25.0490022,92.7947169,osm_network_node
osm_node_00270,25.0496243,92.7951381,osm_network_node
osm_node_00271,25.0602547,92.8043649,osm_network_node
osm_node_00272,25.0600732,92.8055448,osm_network_node
osm_node_00273,25.0736029,92.8129474,osm_network_node
osm_node_00274,25.0807319,92.8104763,osm_network_node
osm_node_00275,25.0813718,92.8106145,osm_network_node
osm_node_00276,25.0816133,92.810693,osm_network_node
osm_node_00277,25.0820416,92.8109033,osm_network_node
osm_node_00278,25.0820206,92.816762,osm_network_node
osm_node_00279,25.08273,92.8128232,osm_network_node
osm_node_00280,25.0829391,92.8114188,osm_network_node
osm_node_00281,25.0830067,92.8120392,osm_network_node
osm_node_00282,25.0829258,92.8115596,osm_network_node
osm_node_00283,25.0839182,92.8165891,osm_network_node
osm_node_00284,25.0923228,92.8201765,osm_network_node
osm_node_00285,25.0922463,92.8202033,osm_network_node
osm_node_00286,25.0923835,92.8205574,osm_network_node
osm_node_00287,25.0924515,92.8205118,osm_network_node
osm_node_00288,25.0947348,92.8248301,osm_network_node
osm_node_00289,25.181384,92.8168264,osm_network_node
osm_node_00290,25.1781035,92.8188716,osm_network_node
osm_node_00291,25.211508,92.8179073,osm_network_node
osm_node_00292,25.2369663,92.8056335,osm_network_node
osm_node_00293,25.3682521,92.8050448,osm_network_node
osm_node_00294,25.4127364,92.792143,osm_network_node
osm_node_00295,25.3271389,92.81767,osm_network_node
osm_node_00296,25.0012337,92.7473062,osm_network_node
osm_node_00297,24.996775,92.7418319,osm_network_node
osm_node_00298,24.996775,92.7416002,osm_network_node
osm_node_00299,25.0013395,92.7472955,osm_network_node
osm_node_00300,25.0012252,92.7474309,osm_network_node
osm_node_00301,25.0013298,92.747443,osm_network_node
osm_node_00302,25.0050465,92.7468851,osm_network_node
osm_node_00303,25.0050076,92.7467859,osm_network_node
osm_node_00304,25.005121,92.7468388,osm_network_node
osm_node_00305,25.0053839,92.746784,osm_network_node
osm_node_00306,25.0058293,92.7466665,osm_network_node
osm_node_00307,25.0058329,92.7468234,osm_network_node
osm_node_00308,25.0065123,92.7468717,osm_network_node
osm_node_00309,25.0065269,92.746735,osm_network_node
osm_node_00310,25.0072476,92.7473652,osm_network_node
osm_node_00311,25.0073546,92.7472767,osm_network_node
osm_node_00312,25.007707,92.7481444,osm_network_node
osm_node_00313,25.0078104,92.7480518,osm_network_node
osm_node_00314,25.0078468,92.748365,osm_network_node
osm_node_00315,25.008175,92.7489156,osm_network_node
osm_node_00316,25.0105558,92.7540882,osm_network_node
osm_node_00317,25.010664,92.7540225,osm_network_node
osm_node_00318,25.0106798,92.7543926,osm_network_node
osm_node_00319,25.0108025,92.754335,osm_network_node
osm_node_00320,25.0154986,92.7648506,osm_network_node
osm_node_00321,25.0156577,92.7649633,osm_network_node
osm_node_00322,25.0157185,92.7648492,osm_network_node
osm_node_00323,25.0179413,92.7695471,osm_network_node
osm_node_00324,25.0182256,92.7698623,osm_network_node
osm_node_00325,25.0226145,92.7710411,osm_network_node
osm_node_00326,25.0224104,92.7708828,osm_network_node
osm_node_00327,25.023337,92.7711108,osm_network_node
osm_node_00328,25.0232787,92.7712288,osm_network_node
osm_node_00329,25.0235144,92.7713388,osm_network_node
osm_node_00330,25.0235946,92.7712288,osm_network_node
osm_node_00331,25.0277068,92.7708051,osm_network_node
osm_node_00332,25.0302611,92.7754373,osm_network_node
osm_node_00333,25.4146002,92.7857775,osm_network_node
osm_node_00334,25.4425585,92.7325612,osm_network_node
osm_node_00335,25.0286231,92.772075,osm_network_node
osm_node_00336,25.3158552,92.6855564,osm_network_node
osm_node_00337,25.3156903,92.6859695,osm_network_node
